T,Dataset,Model,Efficiency,AvgError
85,as20000102,PDEDDBM,97.8,0.0443265
86,as20000102,EDDBM,98.2,0.0401596
86,as20000102,CAEDDBM,98,0.0330233
86,as20000102,PDEDDBM,97.8,0.0438979
87,as20000102,EDDBM,98,0.0400134
87,as20000102,CAEDDBM,98,0.0342148
87,as20000102,PDEDDBM,97.8,0.0445155
88,as20000102,EDDBM,98,0.0395076
88,as20000102,CAEDDBM,98,0.0339846
88,as20000102,PDEDDBM,97.8,0.0444178
89,as20000102,EDDBM,98,0.0397237
89,as20000102,CAEDDBM,98,0.0348696
89,as20000102,PDEDDBM,97.8,0.0449035
90,as20000102,EDDBM,98,0.0393035
90,as20000102,CAEDDBM,98,0.034734
90,as20000102,PDEDDBM,97.8,0.0449906
91,as20000102,EDDBM,98,0.0390563
91,as20000102,CAEDDBM,98,0.0349553
91,as20000102,PDEDDBM,97.8,0.044476
92,as20000102,EDDBM,98,0.0390311
92,as20000102,CAEDDBM,98,0.0349759
92,as20000102,PDEDDBM,97.8,0.0443683
93,as20000102,EDDBM,98,0.0388696
93,as20000102,CAEDDBM,98,0.0349948
93,as20000102,PDEDDBM,97.8,0.0438707
94,as20000102,EDDBM,98,0.0388701
94,as20000102,CAEDDBM,98,0.0347123
94,as20000102,PDEDDBM,97.8,0.0434497
95,as20000102,EDDBM,98,0.0385987
95,as20000102,CAEDDBM,98,0.0343905
95,as20000102,PDEDDBM,97.8,0.0432849
96,as20000102,EDDBM,98,0.0387669
96,as20000102,CAEDDBM,98,0.0340986
96,as20000102,PDEDDBM,97.8,0.0428208
97,as20000102,EDDBM,98,0.0385688
97,as20000102,CAEDDBM,98,0.0339858
97,as20000102,PDEDDBM,97.8,0.0433731
98,as20000102,EDDBM,98,0.0385611
98,as20000102,CAEDDBM,98,0.0339065
98,as20000102,PDEDDBM,97.8,0.0434637
99,as20000102,EDDBM,98,0.0389662
99,as20000102,CAEDDBM,98,0.033666
99,as20000102,PDEDDBM,97.8,0.0431859
100,as20000102,EDDBM,98,0.0385913
100,as20000102,CAEDDBM,98,0.0337375
100,as20000102,PDEDDBM,97.8,0.0431716
